qaSessionId,eventTimestampUtc,eventTimestampShanghai,eventType,activityState,appState,providerSource,sampleSource,rawOrdinal,nativeTimestampUtc,rawInterArrivalMs,acceptedInterArrivalMs,callbackDelayMs,horizontalAccuracyM,verticalAccuracyM,speedValid,speedMps,courseValid,decision,decisionReason,decisionLatencyMs,dtFromTrustedMs,displacementFromTrustedM,impliedSpeedMps,accuracyAdjustedSpeedMps,trajectoryInnovationM,headingDeltaDeg,motionState,candidateId,segmentSuffix,journalLatencyMs,commitToStoreMs,mapSourceRequestUtc,callbackToMapRequestMs,nativeToMapRequestMs,routePointCount,latestAcceptedAgeMs,notes
qa-mtvixnmb-iim3w848,2026-09-10T12:53:11.106Z,2026-09-10T20:53:11.106+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,47,2026-09-10T12:53:11.000Z,3000,3000,106,14.25,15.21,true,1.25,true,ACCEPT,coherent-motion,0,3000,6.67,2.22,0,5.91,62.21,moving,,514fdef5,,,2026-09-10T12:53:11.144Z,38,144,38,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:12.914Z,2026-09-10T20:53:12.914+08:00,activity_telemetry_health_v2,tracking,active,real,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1914,"{""reason"":""periodic-60s"",""expectedRawOrdinalHighWatermark"":47,""retainedObservationDeficit"":0,""retainedDecisionDeficit"":0,""rawPointCount"":47,""canonicalPointCount"":38,""pendingCandidate"":false,""latestAcceptedAgeMs"":1914,""backgroundTaskActive"":false,""appState"":""active"",""retainedEventCount"":262,""retainedBytes"":218672,""retainedCriticalCount"":57,""retainedObservationCount"":47,""retainedDecisionCount"":47,""uploadCount"":5,""consecutiveUploadFailures"":0,""lastUploadAt"":1789044688674}"
qa-mtvixnmb-iim3w848,2026-09-10T12:53:16.091Z,2026-09-10T20:53:16.091+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,48,2026-09-10T12:53:16.000Z,5000,5000,91,14.25,16.1,true,1.11,true,ACCEPT,coherent-motion,1,5000,6.26,1.25,0,4.88,3.83,moving,,514fdef5,,,2026-09-10T12:53:16.125Z,34,125,39,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:19.100Z,2026-09-10T20:53:19.100+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,49,2026-09-10T12:53:19.000Z,3000,3000,100,14.25,16.5,true,1.27,true,ACCEPT,coherent-motion,0,3000,5.42,1.81,0,1.71,4.89,moving,,514fdef5,,,2026-09-10T12:53:19.140Z,40,140,40,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:26.099Z,2026-09-10T20:53:26.099+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,50,2026-09-10T12:53:26.001Z,7001,7001,98,14.25,15.78,true,0.8,true,ACCEPT,coherent-motion,0,7001,6.22,0.89,0,7.06,19.26,moving,,514fdef5,34,0,2026-09-10T12:53:26.140Z,41,139,41,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:28.610Z,2026-09-10T20:53:28.610+08:00,rnmapbox_userlocation_source_snapshot,tracking,,rnmapbox-apple-location-provider,mapbox-userlocation,,2026-09-10T12:53:28.000Z,,,610,14.245954656150671,,true,0.8829733672573958,,,coalesced-source-observation,,,,,,,,,,,,,,,,,,"{""repeatCount"":3656,""firstObservedAt"":1789044552742,""firstSequenceTimestamp"":1789044549000,""altitudeAvailable"":true}"
qa-mtvixnmb-iim3w848,2026-09-10T12:53:31.100Z,2026-09-10T20:53:31.100+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,51,2026-09-10T12:53:31.001Z,5000,5000,99,14.25,17.21,true,0.84,true,ACCEPT,coherent-motion,0,5000,5.1,1.02,0,1.58,17.34,moving,,514fdef5,,,2026-09-10T12:53:31.158Z,58,157,42,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:35.094Z,2026-09-10T20:53:35.094+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,52,2026-09-10T12:53:35.001Z,4000,4000,93,14.25,14.01,true,1.23,true,ACCEPT,coherent-motion,0,4000,5,1.25,0,1.14,8.4,moving,,514fdef5,,,2026-09-10T12:53:35.139Z,45,138,43,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:40.101Z,2026-09-10T20:53:40.101+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,53,2026-09-10T12:53:40.001Z,5000,5000,100,14.25,15.46,true,1.05,true,ACCEPT,coherent-motion,0,5000,5.98,1.2,0,2.26,21.16,moving,,514fdef5,,,2026-09-10T12:53:40.141Z,40,140,44,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:45.101Z,2026-09-10T20:53:45.101+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,54,2026-09-10T12:53:45.001Z,5000,5000,100,14.25,14.89,true,0.92,true,ACCEPT,coherent-motion,0,5000,5.71,1.14,0,3.66,36.4,moving,,514fdef5,,,2026-09-10T12:53:45.138Z,37,137,45,,
